Jar_ID,DO,Unit_1,Location,Date_time,Lid_Treatment,Jar_type
J-101,0.31,%O2,Liquid,2019-01-04T15:20:31Z,Tight,Experimental
J-101,1.263,%O2,Liquid,2019-01-04T15:25:31Z,Tight,Experimental
J-101,0.691,%O2,Liquid,2019-01-04T15:30:31Z,Tight,Experimental
J-101,0.582,%O2,Liquid,2019-01-04T15:35:31Z,Tight,Experimental
J-101,1.798,%O2,Liquid,2019-01-04T15:40:31Z,Tight,Experimental
J-101,0.321,%O2,Liquid,2019-01-04T15:45:31Z,Tight,Experimental
J-101,0.777,%O2,Liquid,2019-01-04T15:50:31Z,Tight,Experimental
J-101,0.832,%O2,Liquid,2019-01-04T15:55:31Z,Tight,Experimental
J-101,0.3,%O2,Liquid,2019-01-04T16:00:31Z,Tight,Experimental
J-101,0.471,%O2,Liquid,2019-01-04T16:05:31Z,Tight,Experimental
J-101,0.316,%O2,Liquid,2019-01-04T16:10:31Z,Tight,Experimental
J-101,0.321,%O2,Liquid,2019-01-04T16:15:31Z,Tight,Experimental
J-101,0.377,%O2,Liquid,2019-01-04T16:20:31Z,Tight,Experimental
J-101,0.308,%O2,Liquid,2019-01-04T16:25:31Z,Tight,Experimental
J-101,0.325,%O2,Liquid,2019-01-04T16:30:31Z,Tight,Experimental
J-101,0.312,%O2,Liquid,2019-01-04T16:35:31Z,Tight,Experimental
J-102,0.323,%O2,Liquid,2019-01-04T15:10:31Z,Loose,Experimental
J-102,0.325,%O2,Liquid,2019-01-04T15:15:31Z,Loose,Experimental
J-102,0.321,%O2,Liquid,2019-01-04T15:20:31Z,Loose,Experimental
J-102,4.205,%O2,Liquid,2019-01-04T15:25:31Z,Loose,Experimental
J-102,3.044,%O2,Liquid,2019-01-04T15:30:31Z,Loose,Experimental
J-102,2.468,%O2,Liquid,2019-01-04T15:35:31Z,Loose,Experimental
J-102,6.509,%O2,Liquid,2019-01-04T15:40:31Z,Loose,Experimental
J-102,3.004,%O2,Liquid,2019-01-04T15:45:31Z,Loose,Experimental
J-102,5.416,%O2,Liquid,2019-01-04T15:50:31Z,Loose,Experimental
J-102,6.941,%O2,Liquid,2019-01-04T15:55:31Z,Loose,Experimental
J-102,2.537,%O2,Liquid,2019-01-04T16:00:31Z,Loose,Experimental
J-102,6.411,%O2,Liquid,2019-01-04T16:05:31Z,Loose,Experimental
J-102,6.034,%O2,Liquid,2019-01-04T16:10:31Z,Loose,Experimental
J-102,2.099,%O2,Liquid,2019-01-04T16:15:31Z,Loose,Experimental
J-110,0.214,%O2,Liquid,2019-01-04T15:10:32Z,Tight,Experimental
J-110,0.216,%O2,Liquid,2019-01-04T15:15:32Z,Tight,Experimental
J-110,0.216,%O2,Liquid,2019-01-04T15:20:32Z,Tight,Experimental
J-110,0.218,%O2,Liquid,2019-01-04T15:25:32Z,Tight,Experimental
J-110,0.214,%O2,Liquid,2019-01-04T15:30:32Z,Tight,Experimental
J-110,0.207,%O2,Liquid,2019-01-04T15:35:32Z,Tight,Experimental
J-110,0.224,%O2,Liquid,2019-01-04T15:40:32Z,Tight,Experimental
J-110,0.209,%O2,Liquid,2019-01-04T15:45:32Z,Tight,Experimental
J-110,0.214,%O2,Liquid,2019-01-04T15:50:32Z,Tight,Experimental
J-110,0.207,%O2,Liquid,2019-01-04T15:55:32Z,Tight,Experimental
J-110,0.212,%O2,Liquid,2019-01-04T16:00:32Z,Tight,Experimental
J-110,0.205,%O2,Liquid,2019-01-04T16:05:32Z,Tight,Experimental
J-110,0.207,%O2,Liquid,2019-01-04T16:10:32Z,Tight,Experimental
J-110,0.212,%O2,Liquid,2019-01-04T16:15:32Z,Tight,Experimental
J-110,0.216,%O2,Liquid,2019-01-04T16:20:32Z,Tight,Experimental
J-110,0.205,%O2,Liquid,2019-01-04T16:25:32Z,Tight,Experimental
J-110,0.212,%O2,Liquid,2019-01-04T16:30:32Z,Tight,Experimental
J-110,0.22,%O2,Liquid,2019-01-04T16:35:32Z,Tight,Experimental
J-106,12.599,%O2,Liquid,2019-01-04T15:10:33Z,Loose,Experimental
J-106,13.439,%O2,Liquid,2019-01-04T15:15:32Z,Loose,Experimental
J-106,12.861,%O2,Liquid,2019-01-04T15:20:32Z,Loose,Experimental
J-106,14.636,%O2,Liquid,2019-01-04T15:25:32Z,Loose,Experimental
J-106,15.065,%O2,Liquid,2019-01-04T15:30:32Z,Loose,Experimental
J-106,14.036,%O2,Liquid,2019-01-04T15:35:32Z,Loose,Experimental
J-106,15.744,%O2,Liquid,2019-01-04T15:40:32Z,Loose,Experimental
J-106,15.151,%O2,Liquid,2019-01-04T15:45:33Z,Loose,Experimental
J-106,15.074,%O2,Liquid,2019-01-04T15:50:32Z,Loose,Experimental
J-106,15.966,%O2,Liquid,2019-01-04T15:55:33Z,Loose,Experimental
J-106,15.063,%O2,Liquid,2019-01-04T16:00:32Z,Loose,Experimental
J-106,15.417,%O2,Liquid,2019-01-04T16:05:32Z,Loose,Experimental
J-106,16.083,%O2,Liquid,2019-01-04T16:10:32Z,Loose,Experimental
J-106,14.956,%O2,Liquid,2019-01-04T16:15:32Z,Loose,Experimental
J-106,16.033,%O2,Liquid,2019-01-04T16:20:32Z,Loose,Experimental
J-106,16.113,%O2,Liquid,2019-01-04T16:25:32Z,Loose,Experimental
J-106,15.247,%O2,Liquid,2019-01-04T16:30:32Z,Loose,Experimental
J-106,16.266,%O2,Liquid,2019-01-04T16:35:32Z,Loose,Experimental
J-01,NA,NA,NA,NA,Tight,Stock
J-02,NA,NA,NA,NA,Loose,Stock
