Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
10-Nov-2018;11:57:24;OWEN          ;39529     ;H_109;7.83;min;19.025;%O2;dry;27.561;deg;16312;uV;20.000;°C;954.830;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38079;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.334;V;
12-Nov-2018;16:32:09;OWEN          ;39524     ;H_101;3162.58;min;18.976;%O2;dry;27.503;deg;16164;uV;20.000;°C;962.500;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38952;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.194;V;
12-Nov-2018;16:32:23;OWEN          ;39521     ;H_102;3162.82;min;18.975;%O2;dry;27.503;deg;16070;uV;20.000;°C;962.550;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38945;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.189;V;
12-Nov-2018;16:32:33;OWEN          ;39523     ;H_110;3162.98;min;18.908;%O2;dry;27.541;deg;17075;uV;20.000;°C;962.510;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38944;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.186;V;
12-Nov-2018;16:32:41;OWEN          ;39526     ;H_106;3163.12;min;19.007;%O2;dry;27.485;deg;17774;uV;20.000;°C;962.540;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38933;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.184;V;
12-Nov-2018;16:32:49;OWEN          ;39529     ;H_109;3163.25;min;18.914;%O2;dry;27.537;deg;15450;uV;20.000;°C;962.580;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38932;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.183;V;
12-Nov-2018;16:32:58;OWEN          ;39522     ;H_104;3163.40;min;19.087;%O2;dry;27.440;deg;16660;uV;20.000;°C;962.560;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38928;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.181;V;
12-Nov-2018;16:33:07;OWEN          ;39525     ;H_105;3163.55;min;19.067;%O2;dry;27.452;deg;18239;uV;20.000;°C;962.510;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38924;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.179;V;
12-Nov-2018;16:33:15;OWEN          ;39527     ;H_107;3163.68;min;18.939;%O2;dry;27.523;deg;16312;uV;20.000;°C;962.570;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38925;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.179;V;
12-Nov-2018;16:33:23;OWEN          ;39520     ;H_103;3163.82;min;19.008;%O2;dry;27.484;deg;18804;uV;20.000;°C;962.570;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38912;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.177;V;
12-Nov-2018;16:33:34;OWEN          ;39528     ;H_108;3164.00;min;19.032;%O2;dry;27.471;deg;17957;uV;20.000;°C;962.520;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38906;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.172;V;
13-Nov-2018;09:18:54;OWEN          ;39524     ;H_101;4169.33;min;19.027;%O2;dry;27.399;deg;15325;uV;20.000;°C;969.320;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;40198;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.182;V;
13-Nov-2018;09:19:10;OWEN          ;39521     ;H_102;4169.60;min;19.022;%O2;dry;27.402;deg;14331;uV;20.000;°C;969.290;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;40198;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.175;V;
13-Nov-2018;09:19:24;OWEN          ;39523     ;H_110;4169.83;min;18.998;%O2;dry;27.415;deg;16047;uV;20.000;°C;969.340;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;40192;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.167;V;
13-Nov-2018;09:19:35;OWEN          ;39526     ;H_106;4170.02;min;19.146;%O2;dry;27.333;deg;16104;uV;20.000;°C;969.290;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;40192;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.164;V;
13-Nov-2018;09:19:48;OWEN          ;39529     ;H_109;4170.23;min;19.002;%O2;dry;27.413;deg;14029;uV;20.000;°C;969.350;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;40189;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.159;V;
